iter	Passed	Remaining
820	13512	2946
821	13528	2929
822	13544	2912
823	13561	2896
824	13578	2880
825	13594	2863
826	13611	2847
827	13627	2830
828	13643	2814
829	13660	2797
830	13676	2781
831	13692	2764
832	13708	2748
833	13725	2731
834	13741	2715
835	13759	2699
836	13775	2682
837	13791	2666
838	13808	2649
839	13826	2633
840	13848	2618
841	13868	2602
842	13889	2586
843	13908	2570
844	13926	2554
845	13942	2537
846	13959	2521
847	13975	2504
848	13990	2488
849	14007	2471
850	14024	2455
851	14040	2439
852	14058	2422
853	14073	2406
854	14090	2389
855	14106	2373
856	14123	2356
857	14139	2340
858	14156	2323
859	14172	2307
860	14189	2290
861	14204	2274
862	14222	2257
863	14239	2241
864	14256	2224
865	14272	2208
866	14288	2191
867	14303	2175
868	14319	2158
869	14336	2142
870	14352	2125
871	14368	2109
872	14385	2092
873	14401	2076
874	14418	2059
875	14436	2043
876	14452	2026
877	14469	2010
878	14484	1993
879	14501	1977
880	14517	1960
881	14534	1944
882	14549	1927
883	14566	1911
884	14582	1894
885	14597	1878
886	14614	1861
887	14629	1845
888	14644	1828
889	14660	1811
890	14675	1795
891	14691	1778
892	14707	1762
893	14723	1745
894	14738	1729
895	14754	1712
896	14770	1696
897	14785	1679
898	14802	1663
899	14819	1646
900	14835	1630
901	14851	1613
902	14867	1597
903	14884	1580
904	14899	1564
905	14915	1547
906	14931	1531
907	14948	1514
908	14964	1498
909	14980	1481
910	14997	1465
911	15014	1448
912	15031	1432
913	15049	1416
914	15065	1399
915	15082	1383
916	15097	1366
917	15113	1350
918	15131	1333
919	15149	1317
920	15165	1300
921	15181	1284
922	15196	1267
923	15215	1251
924	15233	1235
925	15250	1218
926	15267	1202
927	15283	1185
928	15299	1169
929	15315	1152
930	15332	1136
931	15350	1119
932	15366	1103
933	15382	1086
934	15397	1070
935	15413	1053
936	15431	1037
937	15447	1021
938	15462	1004
939	15479	988
940	15494	971
941	15511	955
942	15528	938
943	15544	922
944	15559	905
945	15575	889
946	15592	872
947	15609	856
948	15625	839
949	15641	823
950	15658	806
951	15674	790
952	15690	773
953	15707	757
954	15722	740
955	15737	724
956	15755	707
957	15770	691
958	15787	674
959	15802	658
960	15818	641
961	15834	625
962	15852	609
963	15870	592
964	15886	576
965	15902	559
966	15919	543
967	15934	526
968	15950	510
969	15967	493
970	15983	477
971	15999	460
972	16016	444
973	16032	427
974	16049	411
975	16068	395
976	16084	378
977	16100	362
978	16117	345
979	16133	329
980	16149	312
981	16165	296
982	16181	279
983	16197	263
984	16214	246
985	16230	230
986	16245	213
987	16261	197
988	16277	181
989	16292	164
990	16307	148
991	16323	131
992	16337	115
993	16354	98
994	16370	82
995	16386	65
996	16402	49
997	16420	32
998	16436	16
999	16450	0
